id,breed,class_id
1,Plymouth Rock,1
2,Dominique,1
3,Wyandotte,1
4,Java,1
5,Rhode Island Red,1
6,Rhode Island White,1
7,Buckeye,1
8,Chantecler,1
9,Jersey Giant,1
10,Lamoina,1
11,New Hampshire,1
12,Holland,1
13,Delaware,1
14,Brahma,2
15,Cochin,2
16,Langshan,2
17,Barnevelder,3
18,Campine,3
19,Hamburg,3
20,Lakenvelder,3
21,Welsimmer,3
22,Plolish,3
23,Houdan,3
24,Crevecoeur,3
25,La Fleche,3
26,Faverolle,3
27,Dorking,4
28,Redcap,4
29,Cornish,4
30,Orpington,4
31,Sussex,4
32,Australorp,4
33,Leghorn,5
34,Minorca,5
35,White Faced Black Spanish,5
36,Andalusian,5
37,Ancona,5
38,Sicilian Buttercup,5
39,Catalana,5
40,Modern Game,6
41,Old English Game,6
42,Sumatra,6
43,Malay,6
44,Cubalaya,6
45,Phoenix,6
46,Yokohama,6
47,Aseel,6
48,Shamo,6
49,Sultan,6
50,Naked Neck,6
51,Araycana,6
52,Ameraucana,6
53,Modern Game,7
54,Old English Game,8
55,Ancona,9
56,Andulasian,9
57,Australorp,9
58,Catalana,9
59,Campine,9
60,Delaware,9
61,SC Dorking,9
62,Dutch,9
63,Frizzle,9
64,Holland,9
65,Japanese,9
66,Javas,9
67,Jersey Giant,9
68,Lakenvelder,9
69,Lamona,9
70,SC Leghorn,9
71,Minorca,9
72,Naked Neck,9
73,New Hampshire,9
74,Orpington,9
75,Phoenix,9
76,Plymouth Rock,9
77,SC Rhode Island,9
78,Spanish,9
79,Sussex,9
80,Ancona,10
81,D'Anver,10
82,RC Dorking,10
83,Dominique,10
84,Hamburg,10
85,RC Leghorn,10
86,Minorca,10
87,Redcap,10
88,RC Rhode Island,10
89,Rosecomb,10
90,Sebright,10
91,Wyandotte,10
92,Ameraucana,12
93,Araucana,12
94,Buckeye,12
95,Chantecler,12
96,Cornish,12
97,Crevecoeur,12
98,Cubalaya,12
99,Houdan,12
100,LeFleche,12
101,Malay,12
102,Polish,12
103,Shamo,12
104,Sicilian Buttercup,12
105,Sumatra,12
106,Yokohama,12
107,Cochin,11
108,Brahma,11
109,Faverole,11
110,Langshan,11
111,Silkie,11
112,Sultan,11
113,Booted,11
114,D'Uccle,11
115,Pekin,13
116,Aylesbury,13
117,Rouen,13
118,Muscovy,13
119,Cayuga,14
120,Crested,14
121,Swedish,14
122,Buff,14
123,Runner Campbell,15
124,Magpie,15
125,Harlequin,15
126,Call,16
127,Mallard,16
128,East Indie,16
129,Toulouse,17
130,Embden,17
131,African,17
132,Sebastopol,18
133,Pilgrim,18
134,American Buff,18
135,Saddleback Pomeranian,18
136,Chinese,19
137,Tufted Roman,19
138,Canadian,19
139,Egyptian,19
140,Turkey,20
141,Guinea,21